source;target;2013
netherlands;brazil;1
netherlands;spain;0
netherlands;united states;0
netherlands;united kingdom;1
netherlands;canada;0
netherlands;france;0
netherlands;portugal;0
netherlands;belgium;0
netherlands;uruguay;0
netherlands;germany;0
netherlands;australia;0
netherlands;colombia;0
netherlands;belize;0
netherlands;argentina;0
netherlands;japan;0
netherlands;chile;0
netherlands;netherlands;1
netherlands;italy;0
netherlands;peru;0
netherlands;denmark;0
netherlands;switzerland;0
netherlands;sweden;0
netherlands;cuba;0
netherlands;venezuela;0
italy;brazil;3
italy;spain;0
italy;united states;0
italy;united kingdom;0
italy;canada;0
italy;france;0
italy;portugal;0
italy;belgium;0
italy;uruguay;0
italy;germany;0
italy;australia;0
italy;colombia;0
italy;belize;0
italy;argentina;0
italy;japan;0
italy;chile;0
italy;netherlands;0
italy;italy;8
italy;peru;0
italy;denmark;0
italy;switzerland;0
italy;sweden;0
italy;cuba;0
italy;venezuela;0
peru;brazil;3
peru;spain;0
peru;united states;0
peru;united kingdom;0
peru;canada;0
peru;france;0
peru;portugal;0
peru;belgium;0
peru;uruguay;0
peru;germany;0
peru;australia;0
peru;colombia;0
peru;belize;0
peru;argentina;0
peru;japan;0
peru;chile;0
peru;netherlands;0
peru;italy;0
peru;peru;0
peru;denmark;0
peru;switzerland;0
peru;sweden;0
peru;cuba;0
peru;venezuela;0
denmark;brazil;0
denmark;spain;0
denmark;united states;0
denmark;united kingdom;0
denmark;canada;0
denmark;france;0
denmark;portugal;0
denmark;belgium;0
denmark;uruguay;0
denmark;germany;0
denmark;australia;0
denmark;colombia;0
denmark;belize;0
denmark;argentina;0
denmark;japan;0
denmark;chile;0
denmark;netherlands;0
denmark;italy;0
denmark;peru;0
denmark;denmark;0
denmark;switzerland;0
denmark;sweden;0
denmark;cuba;0
denmark;venezuela;0
switzerland;brazil;0
switzerland;spain;0
switzerland;united states;0
switzerland;united kingdom;0
switzerland;canada;0
switzerland;france;0
switzerland;portugal;0
switzerland;belgium;0
switzerland;uruguay;0
switzerland;germany;0
switzerland;australia;0
switzerland;colombia;0
switzerland;belize;0
switzerland;argentina;0
switzerland;japan;0
switzerland;chile;0
switzerland;netherlands;0
switzerland;italy;0
switzerland;peru;0
switzerland;denmark;0
switzerland;switzerland;1
switzerland;sweden;0
switzerland;cuba;0
switzerland;venezuela;0
sweden;brazil;0
sweden;spain;0
sweden;united states;0
sweden;united kingdom;0
sweden;canada;0
sweden;france;0
sweden;portugal;0
sweden;belgium;0
sweden;uruguay;0
sweden;germany;0
sweden;australia;0
sweden;colombia;0
sweden;belize;0
sweden;argentina;0
sweden;japan;0
sweden;chile;0
sweden;netherlands;0
sweden;italy;0
sweden;peru;0
sweden;denmark;0
sweden;switzerland;0
sweden;sweden;0
sweden;cuba;0
sweden;venezuela;0
cuba;brazil;10
cuba;spain;2
cuba;united states;0
cuba;united kingdom;0
cuba;canada;0
cuba;france;0
cuba;portugal;0
cuba;belgium;0
cuba;uruguay;0
cuba;germany;0
cuba;australia;0
cuba;colombia;0
cuba;belize;0
cuba;argentina;0
cuba;japan;0
cuba;chile;0
cuba;netherlands;0
cuba;italy;0
cuba;peru;0
cuba;denmark;0
cuba;switzerland;0
cuba;sweden;0
cuba;cuba;2
cuba;venezuela;0
venezuela;brazil;1
venezuela;spain;0
venezuela;united states;0
venezuela;united kingdom;0
venezuela;canada;0
venezuela;france;1
venezuela;portugal;0
venezuela;belgium;0
venezuela;uruguay;0
venezuela;germany;0
venezuela;australia;0
venezuela;colombia;0
venezuela;belize;0
venezuela;argentina;0
venezuela;japan;0
venezuela;chile;0
venezuela;netherlands;0
venezuela;italy;0
venezuela;peru;0
venezuela;denmark;0
venezuela;switzerland;0
venezuela;sweden;0
venezuela;cuba;0
venezuela;venezuela;0
